주_도_성,국가_지역,위도,경도,발생일시,확진자,사망자,완치자,격리중,WHO보건지역,cluster,c
,Germany,51.165691,10.451526,2020-07-27,207112,9125,190314,7673,Europe,0,red
,Ghana,7.9465,-1.0232,2020-07-27,33624,168,29801,3655,Africa,0,red
,Greece,39.0742,21.8243,2020-07-27,4227,202,1374,2651,Europe,1,blue
,Guatemala,15.7835,-90.2308,2020-07-27,45309,1761,32455,11093,Americas,0,red
,Guinea,9.9456,-9.6966,2020-07-27,7055,45,6257,753,Africa,0,red
,Guyana,4.860416000000002,-58.93018000000001,2020-07-27,389,20,181,188,Americas,0,red
,Haiti,18.9712,-72.2852,2020-07-27,7340,158,4365,2817,Americas,0,red
,Holy See,41.9029,12.4534,2020-07-27,12,0,12,0,Europe,0,red
,Honduras,15.2,-86.2419,2020-07-27,39741,1166,5039,33536,Americas,0,red
,Hungary,47.1625,19.5033,2020-07-27,4448,596,3329,523,Europe,1,blue
,Iceland,64.9631,-19.0208,2020-07-27,1854,10,1823,21,Europe,0,red
,India,20.593684,78.96288,2020-07-27,1480073,33408,951166,495499,South-East Asia,1,blue
,Indonesia,-0.7893,113.9213,2020-07-27,100303,4838,58173,37292,South-East Asia,1,blue
,Iran,32.427908,53.68804599999999,2020-07-27,293606,15912,255144,22550,Eastern Mediterranean,1,blue
,Iraq,33.223191,43.679291,2020-07-27,112585,4458,77144,30983,Eastern Mediterranean,1,blue
,Ireland,53.1424,-7.6921,2020-07-27,25892,1764,23364,764,Europe,0,red
,Israel,31.046051,34.851612,2020-07-27,63985,474,27133,36378,Europe,1,blue
,Italy,41.87194,12.56738,2020-07-27,246286,35112,198593,12581,Europe,0,red
,Jamaica,18.1096,-77.2975,2020-07-27,853,10,714,129,Americas,0,red
,Japan,36.204824,138.252924,2020-07-27,31142,998,21970,8174,Western Pacific,1,blue
,Jordan,31.24,36.51,2020-07-27,1176,11,1041,124,Eastern Mediterranean,1,blue
,Kazakhstan,48.0196,66.9237,2020-07-27,84648,585,54404,29659,Europe,1,blue
,Kenya,-0.0236,37.9062,2020-07-27,17975,285,7833,9857,Africa,1,blue
,South Korea,35.90775700000001,127.766922,2020-07-27,14203,300,13007,896,Western Pacific,1,blue
,Kuwait,29.31166,47.481766,2020-07-27,64379,438,55057,8884,Eastern Mediterranean,1,blue
,Kyrgyzstan,41.20438,74.766098,2020-07-27,33296,1301,21205,10790,Europe,1,blue
,Latvia,56.8796,24.6032,2020-07-27,1219,31,1045,143,Europe,1,blue
,Lebanon,33.8547,35.8623,2020-07-27,3882,51,1709,2122,Eastern Mediterranean,1,blue
,Liberia,6.4280550000000005,-9.429499,2020-07-27,1167,72,646,449,Africa,0,red
,Liechtenstein,47.14,9.55,2020-07-27,86,1,81,4,Europe,0,red
,Lithuania,55.1694,23.8813,2020-07-27,2019,80,1620,319,Europe,1,blue
,Luxembourg,49.8153,6.1296,2020-07-27,6321,112,4825,1384,Europe,0,red
,Madagascar,-18.766947,46.869107,2020-07-27,9690,91,6260,3339,Africa,1,blue
,Malaysia,4.210483999999999,101.975766,2020-07-27,8904,124,8601,179,Western Pacific,1,blue
,Maldives,3.2028,73.2207,2020-07-27,3369,15,2547,807,South-East Asia,1,blue
,Malta,35.9375,14.3754,2020-07-27,701,9,665,27,Europe,0,red
,Mauritania,21.0079,-10.9408,2020-07-27,6208,156,4653,1399,Africa,0,red
,Mauritius,-20.348404,57.552152,2020-07-27,344,10,332,2,Africa,1,blue
,Mexico,23.6345,-102.5528,2020-07-27,395489,44022,303810,47657,Americas,0,red
,Moldova,47.4116,28.3699,2020-07-27,23154,748,16154,6252,Europe,1,blue
,Monaco,43.7333,7.4167,2020-07-27,116,4,104,8,Europe,0,red
,Mongolia,46.8625,103.8467,2020-07-27,289,0,222,67,Western Pacific,1,blue
,Montenegro,42.708678000000006,19.37439,2020-07-27,2893,45,809,2039,Europe,1,blue
,Morocco,31.7917,-7.0926,2020-07-27,20887,316,16553,4018,Eastern Mediterranean,0,red
,Namibia,-22.9576,18.4904,2020-07-27,1843,8,101,1734,Africa,1,blue
,Nepal,28.1667,84.25,2020-07-27,18752,48,13754,4950,South-East Asia,1,blue
Aruba,Netherlands,12.5211,-69.9683,2020-07-27,119,3,102,14,Europe,0,red
Curacao,Netherlands,12.1696,-68.99,2020-07-27,29,1,24,4,Europe,0,red
Sint Maarten,Netherlands,18.0425,-63.0548,2020-07-27,114,15,63,36,Europe,0,red
,Netherlands,52.1326,5.2913,2020-07-27,53151,6141,0,47010,Europe,0,red
,New Zealand,-40.9006,174.886,2020-07-27,1557,22,1514,21,Western Pacific,1,blue
,Nicaragua,12.865416,-85.207229,2020-07-27,3439,108,2492,839,Americas,0,red
,Niger,17.607789,8.081666,2020-07-27,1132,69,1027,36,Africa,0,red
,Nigeria,9.082,8.6753,2020-07-27,41180,860,18203,22117,Africa,0,red
,North Macedonia,41.6086,21.7453,2020-07-27,10213,466,5564,4183,Europe,1,blue
,Norway,60.472,8.4689,2020-07-27,9132,255,8752,125,Europe,0,red
,Oman,21.512583,55.92325500000001,2020-07-27,77058,393,57028,19637,Eastern Mediterranean,1,blue
,Pakistan,30.3753,69.3451,2020-07-27,274289,5842,241026,27421,Eastern Mediterranean,1,blue
,Panama,8.538,-80.7821,2020-07-27,61442,1322,35086,25034,Americas,0,red
,Papua New Guinea,-6.314993,143.95555,2020-07-27,62,0,11,51,Western Pacific,1,blue
,Paraguay,-23.4425,-58.4438,2020-07-27,4548,43,2905,1600,Americas,0,red
,Peru,-9.19,-75.0152,2020-07-27,389717,18418,272547,98752,Americas,0,red
,Philippines,12.879721,121.774017,2020-07-27,82040,1945,26446,53649,Western Pacific,1,blue
,Poland,51.9194,19.1451,2020-07-27,43402,1676,32856,8870,Europe,1,blue
,Portugal,39.3999,-8.2245,2020-07-27,50299,1719,35375,13205,Europe,0,red
,Qatar,25.3548,51.1839,2020-07-27,109597,165,106328,3104,Eastern Mediterranean,1,blue
,Romania,45.9432,24.9668,2020-07-27,45902,2206,25794,17902,Europe,1,blue
,Russia,61.52401,105.318756,2020-07-27,816680,13334,602249,201097,Europe,1,blue
,Rwanda,-1.9403,29.8739,2020-07-27,1879,5,975,899,Africa,1,blue
,Saint Lucia,13.9094,-60.9789,2020-07-27,24,0,22,2,Americas,0,red
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-07-27,52,0,39,13,Americas,0,red
,San Marino,43.9424,12.4578,2020-07-27,699,42,657,0,Europe,0,red
,Saudi Arabia,23.885942,45.079162,2020-07-27,268934,2760,222936,43238,Eastern Mediterranean,1,blue
,Senegal,14.4974,-14.4524,2020-07-27,9764,194,6477,3093,Africa,0,red
,Serbia,44.0165,21.0059,2020-07-27,24141,543,0,23598,Europe,1,blue
,Seychelles,-4.6796,55.492,2020-07-27,114,0,39,75,Africa,1,blue
,Singapore,1.2833,103.8333,2020-07-27,50838,27,45692,5119,Western Pacific,1,blue
,Slovakia,48.669,19.699,2020-07-27,2181,28,1616,537,Europe,1,blue
,Slovenia,46.1512,14.9955,2020-07-27,2087,116,1733,238,Europe,0,red
,Somalia,5.152149,46.199616,2020-07-27,3196,93,1543,1560,Eastern Mediterranean,1,blue
,South Africa,-30.5595,22.9375,2020-07-27,452529,7067,274925,170537,Africa,1,blue
,Spain,40.463667,-3.74922,2020-07-27,272421,28432,150376,93613,Europe,0,red
,Sri Lanka,7.873054,80.77179699999998,2020-07-27,2805,11,2121,673,South-East Asia,1,blue
,Sudan,12.8628,30.2176,2020-07-27,11424,720,5939,4765,Eastern Mediterranean,1,blue
,Suriname,3.9193,-56.0278,2020-07-27,1483,24,925,534,Americas,0,red
,Sweden,60.128161,18.643501,2020-07-27,79395,5700,0,73695,Europe,1,blue
,Switzerland,46.8182,8.2275,2020-07-27,34477,1978,30900,1599,Europe,0,red
,Taiwan*,23.7,121.0,2020-07-27,462,7,440,15,Western Pacific,1,blue
,Tanzania,-6.369028,34.888822,2020-07-27,509,21,183,305,Africa,1,blue
,Thailand,15.870032,100.992541,2020-07-27,3297,58,3111,128,South-East Asia,1,blue
